A;Á
skina;skína
skini;skini
skinit;skinið
skinn;skinn
skinnauara;skinnavara
skinnauỏru;skinnavöru
skinnavoru;skinnavöru
skinniup;skinnhjúp
skinnum;skinnum
skioldr;skjöldur
skiolld;skjöldu
skiolld;sjköld
skiolld;skjöld
skiolldu;skjöldu
skiolldum;skjöldum
skiot;skjótt
skiota;skjóta
skiotasto;skjótustu
skiotazst;skjótast
skip;skip
skipa;skipa
skipa;skip
skipabunað;skipbúnað
skipaferðina;skipaferðina
skipaliðet;skipaliðið
skipaliði;skipaliði
skipamennina;skipamennina
skipan;skipan
skipandi;skipandi
skipanna;skipanna
skipar;skipar
skiparar;skiparar
skipast;skipast
skipastóli;skipastóli
skipat;skipað
skipazt;skipast
skipað;skipuð
skipaðe;skipaði
skipaðez;skipaðist
skipaði;skipaði
skipaðist;skipaðist
skipaðr;skipaður
skipaðre;skipaðri
skipaðu;skipuðu
skipaðuzk;skipuðust
skipbordzsins;skipborðsins
skipbroti;skipbroti
skipbrotinu;skipbrotinu
skipe;skipi
skipe;skip
skipen;skipin
skipet;skipið
skipfærðum;skipferðum
skipi;skipi
skipin;skipin
skipinu;skipinu
skipit;skipið
skiplængðir;skiplengdir
skippund;skippund
skipreiða;skipreiða
skips;skips
skipsens;skipsins
skipsins;skipsins
skipsogn;skipsögn
skipsoknen;skipsóknin
skipstiorn;skipstjórn
skipt;skipt
skipta;skipta
skipti;skipti
skiptir;skiptir
skiptu;skiptu
skiptum;skiptum
skiptust;skiptust
skipueriar;skipverjar
skipuliga;skipulega
skipum;skipum
skipun;skipun
skipunar;skipunar
skipunum;skipunum
skipuð;skipuð
skipuðu;skipuðu
skipuðust;skipuðust
skipveria;skipverja
skipverjum;skipverjum
skipvist;skipvist
skipzt;skipst
skirast;skírast
skirazk;skírast
skirdr;skírður
skiria;skirja
skirn;skírn
skirtu;skirtu
skjal;skjal
skjaldarás;skjaldarás
skjaldborgin;skjaldborgin
skjaldsveina;skjaldsveina
skjaldsveinar;skjaldsveinar
skjall;skjall
skjálfhenda;skjálfhenda
skjálfhendu;skjálfhendu
skjálfhent;skjálfhent
skjálgr;skjálgur
skjóta;skjóta
skjótanda;skjótanda
skjótar;skjótar
skjótara;skjótara
skjótari;skjótari
skjótast;skjótast
skjótastr;skjótastur
skjótfæri;skjótfæri
skjótleikinn;skjótleikinn
skjótliga;skjótlega
skjótr;skjótur
skjótt;skjótt
skjótt;skjót
skjótum;skjótum
skjöld;skjöld
skjöldinn;skjöldinn
skjöldrinn;skjöldurinn
skjöldu;skjöldu
skjöldum;skjöldum
skog;skóg
skoga;skóga
skogar;skógar
skoge;skógi
skogi;skógi
skoginn;skóginn
skoginum;skóginum
skogr;skógur
skogótt;skógótt
skoklędin;skóklæðin
skom;skömm
skomm;skömm
skorar;skorar
skoraðr;skoraður
skorenn;skorinn
skorin;skorin
skorta;skorta
skorti;sorti
skorti;skorti
skortir;skortir
skortr;skortur
skorulig;sköruleg
skorðu;skorðu
skosvæinar;skósveinar
skosvæini;skósveini
skot;skot
skotenn;skotinn
skoteno;skotinu
skotet;skotið
skothenda;skothenda
skothending;skothending
skothendingar;skothendingar
skothendur;skothendur
skothent;skothent
skotit;skotið
skotmale;skotmáli
skotom;skotum
skotpenningum;skotpeningum
skotrið;skothríð
skoða;skoða
skraf;skraf
skrasætia;skrásetja
skreið;skreið
skrifa;skrifa
skriftagang;skriftagang
skriftar;skriftar
skriftast;skriftast
skriftaðist;skriftaðist
skrini;skríni
skrinlagðr;skrínlagður
skriðenn;skriðinn
skriðljósum;skriðljósum
skriðuna;skriðuna
skrjáð;skrjáð
skrokkr;skrokkur
skroya;skreyja
skryddust;skrýddust
skrámir;skrámir
skrámleitr;skrámleitur
skrápr;skrápur
skrásettr;skrásettur
skræfu;skræfu
skrækr;skrækr
skrækði;skrækti
skrælingar;skrælingjar
skræppu;skreppu
skríðr;skríður
skrökvat;skrökvað
skrꝍyia;skreyja
skua;skóa
skugga;skugga
skula;skuli
skula;skyldu
skuldarliði;skuldarliði
skulde;skyldi
skuldi;skyldi
skulfu;skulfu
skuli;skuli
skull;skull
skulldi;skyldi
skulldu;skyldu
skulu;skuluð
skulu;skulu
skulum;skulum
skulur;skuluð
skulut;skuluð
skuluð;skuluð
skunda;skunda
skundaði;skundaði
skunnda;skunda
skureið;skureið
skurðum;skurðum
skut;skut
skutilsvein;skutilsvein
skutilsveinn;skutilsveinn
skutr;skútur
skutu;skútu
skutu;skutu
skutunum;skútunum
skvaldri;skvaldri
skvldi;skvldi
skvál;skvol
skykkjum;skykkjum
skyld;skyld
skylda;skylda
skyldast;skyldast
skyldi;skyldi
skyldi;skyldu
skyldir;skyldir
skyldr;skyldr
skyldu;skyldu
skyldum;skyldum
skyli;skyli
skyliast;skiljast
skyllde;skyldi
skylldi;skyldu
skylldi;skildi
skylldi;skyldi
skylldir;skyldir
skylldr;skyldur
skylldra;syldara
skylldu;skyldu
skylldu;skyldi
skylldum;skyldum
skyllt;skylt
skylt;skylt
skyn;skyn
skyndiliga;skyndilega
skyndiliga;skyndiliga
skyndiligast;skyndilegast
skyndingi;skyndingi
skyndingu;skyndingu
skyndir;skyndir
skynja;skynja
skynjar;skynjar
skynsamliga;skynsamliga
skynsamliga;skynsamlega
skynsemi;skynsemi
skyraz;skýrast
skyrhnakk;skyrhnakk
skyrhnakkr;skyrhnakkur
skyrn;skírn
skyrta;skyrta
skyrtu;skyrtu
skyru;skírn
skytningi;skytningi
skytr;skýtur
skáktafli;skáktafli
skál;skál
skála;skála
skálagerðar;skálagerðar
skálaglamm;skálaglamm
skálanna;skálanna
skálanum;skálanum
skáld;skáld
skálda;skálda
skáldaspillir;skáldaspillir
skáldfífla;skáldfífla
skáldin;skáldin
skáldskap;skáldskap
skáldskapar;skáldskapar
skáldskaparheiti;skáldskaparheiti
skáldskaparins;skáldskaparins
skáldskaparmáls;skáldskaparmáls
skáldskapinn;skáldskapinn
skáldskapinum;skáldskapinum
skáldskapr;skáldskapur
skáldskaprinn;skáldskapurinn
skáldum;skáldum
skáli;skáli
skálinn;skálinn
skálir;skálir
skálp;skálp
skált;skalt
skæggiaðr;skeggjaður
skæggs;skeggs
skæið;skeið
skæiðar;skeiðar
skæiðarennar;skeiðarinnar
skæiðena;skeiðina
skæiðenne;skeiðinni
skælmir;skelfir
skælvir;skelfir
skænkia;skenkja
skænkt;skenkt
skær;sker
skína;skína
skínn;skín
skírdag;skírdag
skírdagsmorgin;skírdagsmorgun
skíru;skíru
skírðr;skírður
skíð;skíð
skíðfærr;skíðfær
skíðum;skíðum
skíður;skíði
skó;skó
skóg;skóg
skógar;skógar
skógarmann;skógarmann
skógarmanni;skógarmanni
skógarmaðr;skógarmaður
skógi;skógi
skóginn;skóginn
skóginum;skóginum
skógum;skógum
skóklæða;skóklæða
skóm;skóm
skóp;skóp
skósvein;skósvein
skósveinn;skósveinn
sköftum;sköftum
skömm;skömm
skömmu;skömmu
sköpuð;sköpuð
sköpuðu;sköpuðu
sköruglynd;sköruglynd
sköruliga;skörulega
sköruligast;skörulegast
sköruligasta;skörulegasta
sköruligt;sköruligt
sköruligt;skörulegt
skörungr;skörungur
skörungskap;skörungskap
skörungskapr;skörungskapur
skúa;skóa
skúa;skó
skúr;skúr
skúrir;skúrir
skútu;skútu
skýrr;skýr
skýrt;skýrt
skýtr;skýtur
skỏruligazstr;skörulegastur
skꝍrte;skorti
sla;slá
slagbranda;slagbranda
slaom;sláum
slatr;slátur
sldpat;skipað
slefa;slefa
slefo;slefu
sleginn;sleginn
slegit;slegið
sleikði;sleikti
sleit;sleit
slett;slétt
sleva;sleva
sleyma;sleyma
sleða;sleða
slican;slíkan
slict;slíkt
slik;slík
slikan;slíkan
sliks;slíks
slikt;slíkt
slinni;slinni
slita;slíta
sliti;sliti
slitinn;sliðinn
slitit;slitið
slitna;slitna
slitnuðu;slitnuðu
slo;sló
slokknuðu;slokknuðu
slyngr;slyngur
slá;slá
slá;sló
slám;slám
slápr;slápur
slátr;slátur
slátra;slátra
slátri;slátri
slátrit;slátrið
slægi;slægi
slægð;slægð
slæikia;sleikja
slæiz;slegist
slær;slær
slæst;slæst
slétt;svO
sléttum;sléttum
slík;slík
slíka;slíka
slíkan;slíkan
slíkar;slíkar
slíkir;slíkir
slíkr;slíkur
slíks;slíks
slíkt;slíkt
slíku;slíku
slíkum;slíkum
slíta;slíta
slíðrir;slíðrir
slíðrirnar;slíðrirnar
slíðum;slíðum
sló;sló
slógu;slógu
slóð;slóð
slög;slög
slökktu;slökktu
smabæitr;smábeittur
smabꝍndr;smábændur
smafugla;smáfugla
smakonongom;smákonungum
smalamanninum;smalamanninum
smalamaðr;smalamaður
smalamaðr;smalamaðr
smalamaðrinn;smalamaðrinn
smar;smáar
smaskip;smáskip
smaskipen;smáskipin
smaskipum;smáskipum
smaskitligr;smáskítlegur
smatt;smátt
smior;smjör
smið;smið
smiðinn;smiðinn
smiðju;smiðju
smiðjunni;smiðjunni
smiðr;smiður
smiðrinn;smiðurinn
smom;smáum
smá;smá
smám;smáum
smámælti;smámælti
smán;smán
smán;smáan
smánarlaust;smánarlaust
smáorð;smáorð
smátt;smátt
smæri;smæri
smærre;smærri
smærum;smærum
smæsto;smæstu
smæʀi;smærri
smíð;smíð
smíðarkaupit;smíðarkaupið
smíðat;smíðað
smíðaði;smíðaði
smíðaðir;smíðaðir
smíðaðr;smíðaður
smíðin;smíðin
smíðir;smíðir
smíðuðu;smíðuðu
snaga;snaga
snagi;snagi
snara;snara
snarar;snarar
snarast;snarast
snaraði;snaraði
snaraðist;snaraðist
snarpar;snarpar
snarpt;snarpt
sneckium;snekkjum
sneckiuna;snekkjuna
sneiddi;sneiddi
sneið;sneið
snekkiur;snekkjur
snemma;snemma
snemmt;snemmt
snere;snéri
snerez;snérist
sneri;sneri
sneri;snéri
snerist;snerist
snero;snéru
snerti;snerti
sneru;sneru
snerust;snerust
snialli;snjalli
sniallt;snjallt
snillingar;snillingar
snimma;snemma
snior;snjór
snjallt;snjallt
snoppulangr;snoppulangur
snorp;snörp
snotr;snotr
snua;snúa
snuaz;snúast
snugg;snugg
snyr;snýr
snápr;snápur
snækkiur;snekkjur
snær;snær
snæskriða;snæskriða
sníða;sníða
snúa;snúa
snúast;snúast
snúinn;snúinn
snúist;snúist
snúit;snúið
snúizt;snúist
snúðigt;snúðigt
snúðigt;snúðugt
snýr;snýr
snýst;snýst
snꝍre;snæri
snꝍrespiote;snærisspjóti
so;sáu
soc;sök
socn;sók
sofa;sofa
sofanda;sofanda
sofandum;sofandi
sofinn;sofinn
sofna;sofna
sofnar;sofnar
sofnat;sofnat
sofnaðe;sofnaði
sofnaði;sofnaði
sofnaðr;sofnaður
soghðu;sögðu
sognn;sögn
sogu;sögu
sok;sök
soken;sökin
sol;sól
solar;sólar
solo;sólu
soltinn;soltinn
solu;sólu
solu;sölu
soma;sóma
somasamlega;sómasamlega
son;son
son;sonur
sona;sona
sonar;sonar
sonargjöldum;sonargjöldum
sonarkván;sonarkván
soninn;soninn
sonn;sönn
sono;syni
sonom;sonum
sonr;sonr
sonr;sonur
sonu;sonu
sonu;syni
sonum;sonum
sopar;sópar
sor;sór
soro;sóru
sott;sótt
sottdauðr;sóttdauður
sotte;sótti
sotter;sóttir
sotti;sótti
sottin;sóttin
sottina;sóttina
sotto;sóttu
sottu;sóttu
soxen;söxin
soðinn;soðinn
soðit;soðið
soðna;soðna
soðnaði;soðnaði
soðningu;soðningu
spa;spá
spaca;spaka
spaka;spaka
spake;spaki
spakir;spakir
spakr;spakur
spakra;spakra
spara;spara
sparast;sparast
sparir;sparir
speki;speki
spekimann;spekimann
spekingr;spekingur
spekinni;spekinni
spekt;spekt
spekð;spekt
spekðin;spektin
spekðina;spektina
speldi;speldi
spennir;spennir
spennti;spennti
spenum;spenum
spilla;spilla
spilli;spilli
spillir;spillir
spillið;spillið
spillt;spillt
spillti;spillti
spilltist;spilltist
spilltiz;spilltist
spillzt;spillst
spiotom;spjótum
spiotum;spjótum
spiotzhala;spjótshala
spiozholum;spjótshölum
spitala;spítala
spjalli;spjalli
spjót;spjót
spjóti;spjóti
spjótit;spjótit
spjótit;spjótið
spjótskaftit;spjótskaftið
spjótskefti;spjótskefti
spjótsoddana;spjótsoddana
spjótsoddar;spjótsoddar
spjótsoddinum;spjótsoddinum
spjótsoddum;spjótsoddum
spono;spæni
sporum;sporum
sporð;sporð
sporðinn;sporðinn
sporðr;sporður
spott;spott
spotta;spotta
spottar;spottar
spottat;spottað
spotte;spotti
spottuðu;spottuðu
spracalægs;sprákaleggs
sprakk;sprakk
spratt;spratt
sprett;sprett
spretta;spretta
spretti;spretti
sprettir;sprettir
sprettr;sprettur
sprettu;sprettu
sprota;sprota
sprotner;sprottnir
sprungit;sprungið
sprungit;sprungit
spruttu;spruttu
spurde;spurði
spurdu;spurðu
spurning;spurning
spurt;spurt
spurul;spurul
spurða;spurði
spurðe;spurði
spurði;spurði
spurði;sourði
spurðir;spurðir
spurðizk;spurðist
spurðu;spurðu
spurðust;spurðust
spuðri;spurði
spyr;spyr
spyria;soyrja
spyria;spyrja
spyriazk;spyrjast
spyrir;spyrjir
spyrja;spyrja
spyrjast;spyrjast
spyrnir;spyrnir
spyrnði;spyrnti
spyrnði;spyrndi
spyrnði;spyrnði
spyrr;spyr
spyrr;spurðu
spyrr;spyrr
spyrr;spyrð
spyrst;spyrst
spyrði;spurðu
spyrði;spyrði
spádóm;spádóm
spádóma;spádóma
spákonu;spákonu
spámæli;spámæli
spánþak;spónþak
spár;spár
spárnar;spárnar
spásaga;spásaga
spæki;speki
spækinga;spekinga
spækingar;spekingar
spækt;spekt
spænirnir;spænirnir
spærðr;sperrtur
spýtti;spýtti
spýttu;spýttu
stad;stað
staddar;staddar
stadde;steðjaði
stadder;staddir
staddr;staddur
stade;staði
stadit;staðið
staf;staf
stafasetning;stafsetning
stafasetning;stafasetning
stafaskipti;stafaskipti
stafat;stafað
stafaðu;stöfuðu
stafi;stafi
stafir;stafir
stafna;stafna
stafnana;stafnanna
stafnbua;stafnbúa
stafnbuar;stafnbúar
stafnbuarnir;stafnbúarnir
stafnbúi;stafnbúi
stafnenn;stafninn
stafninum;stafninum
stafnliom;stafnljám
stafnn;stafn
stafr;stafur
stafsendi;stafsendi
stak;stakk
stakk;stakk
stakkgarðsvídd;stakkgarðsvídd
stallara;stallara
stallare;stallari
stallare;stalli
stallari;stallari
stamhendr;stamhendur
stamhent;stamhent
stamna;stafna
standa;standa
standanda;standandi
standande;standandi
standast;standast
standi;standi
standir;standi
standsöðli;standsöðli
stangarinnar;stangarinnar
stannda;standa
starf;starf
starfinuNú;starfinuNú
starfs;starfs
statt;statt
staup;staup
stað;stað
staða;staða
staðaheiti;staðaheiti
staðamál;staðamál
staðar;staðar
staðareign;staðareign
staðarins;staðarins
staðarprestr;staðarprestur
staðe;staði
staðenn;staðinn
staðet;staðið
staðfesta;staðfesta
staðfestist;staðfestist
staðfestu;staðfestu
staðfestulauss;staðfestulauss
staði;staði
staðinn;staðinn
staðinom;staðnum
staðinum;staðinum
staðir;staðir
staðit;staðið
staðnum;staðnum
staðr;staðr
staðr;staður
staðum;stöðum
stef;stef
stefjaméls;stefjaméls
stefjamélum;stefjamélum
stefjaði;stefjaði
steflausa;steflausa
stefna;stefna
stefndi;stefndi
stefndu;stefndu
stefnir;stefnir
stefnið;stefnið
stefnt;stefnt
stefnu;stefnu
stefnuför;stefnuför
stefnulag;stefnulag
steig;steig
steikarinn;steikarinn
steikja;steikja
steikði;steikti
stein;stein
steina;steina
steinana;steinana
steinar;steinar
steinarnir;steinarnir
steinasörvi;steinasörvi
steindum;steindum
steini;steini
steininn;steininn
steininum;steininum
steinn;steinn
steinsheiti;steinsheiti
steinsins;steinsins
steinum;steinum
stekka;stekka
stekkanna;stekkanna
stekkr;stekkur
stekksgarðinn;stekksgarðinn
stekktíð;stekktíð
stemma;stemma
stemnu;stefnu
stendr;stendur
stendr;stendr
sterk;sterk
sterka;sterka
sterkar;sterkar
sterkara;sterkara
sterkastr;sterkastur
sterki;sterki
sterkir;sterkir
sterkleikr;sterkleikur
sterkliga;sterklega
sterkligri;sterklegri
sterkr;sterkur
sterkr;sterkr
sterkri;sterkri
sterkústum;sterkustum
stertimaðr;stertimaður
steyptist;steyptist
steðja;steðja
steðjar;steðjar
steðr;steður
stiga;stiga
stiga;stíga
stigi;stigi
stigr;stígur
stigreip;stigreip
stigreipin;stigreipin
stigræip;stigreip
stigu;stigu
stikillinn;stikillinn
stikkalagi;stikkalagi
stilla;stilla
stilling;stilling
stillingarmenn;stillingarmenn
stillingu;stillingu
stillir;stillir
stillt;stillt
stilltan;stilltan
stinga;stinga
stingi;stingi
stingr;stingur
stinn;stinn
stiorn;stjórn
stiorna;stjórna
stiornaðe;stjórnaði
stiornaðu;stjórnuðu
stiornen;stjórnin
stiornsamr;stjórnsamur
stirt;stirt
stirðnaðu;stirnuðu
stiupfaðr;stjúpföður
stiupfeðr;stjúpföður
stjórn;stjórn
stjórnar;stjórnar
stjórnari;stjórnari
stjórnarmenn;stjórnarmenn
stjórnum;stjórnum
stjörnu;stjörnu
stjörnur;stjörnur
stjúp;stjúp
stjúpfaðir;stjúpfaðir
stjúpson;stjúpson
stjúpsonr;stjúpsonur
stock;sökk
stod;stóð
stoddu;steðjuðu
stodst;stóðst
stofonne;stofunni
stofu;stofu
stofudyrrnar;stofudyrnar
stofuna;stofuna
stofunne;stofunni
stofunni;stofunni
stofur;stofur
stok;stökk
stokk;stokk
stokk;stökk
stokka;stkka
stokka;stokka
stokki;stokki
stokkinn;stokkinn
stol;stól
stola;stóla
stoli;stóli
stolinn;stólinn
stolinn;stolinn
stolinum;stólinum
stolit;stolið
stolkonongenom;stólkonunginum
stolkonongom;stólkonungum
stolkonongr;stólkonungur
stolsættr;stólsettur
stondum;stöndum
stor;stór
stora;stóra
storan;stóran
storar;stórar
storaudigr;stórauðugur
storbꝍana;stórbæina
storer;stórir
storflokka;stórflokka
storgiaver;stórgjafir
storilla;stórilla
stormenni;stórmenni
stormennis;stórmennis
stormi;stormi
stormr;stormur
stormrinn;stormurinn
storms;storms
stormviðri;stormviðri
stormærki;stórmerki
storo;stóru
storom;stórum
storræðe;stórræði
storskip;stórskip
stortiðendi;stórtíðindi
storum;stórum
storvirki;stórvirki
storvirkis;stórvirkis
stoð;stoð
stoð;stóð
stoða;stoða
stoðo;stóðu
stoðva;stöðva
strandhogg;strandhögg
stranga;stranga
strauk;strauk
straumi;straumi
strauminum;strauminum
strengi;strengi
strengjar;strengjar
strengt;strengt
strjúka;strjúka
strákrinn;strákurinn
strákrinn;strákrinn
stræng;streng
strængenn;strenginn
strængia;strengja
strængir;strengir
strængr;strengur
strængði;strengdi
strængðu;strengdu
stræta;stræta
stræteno;strætinu
strætit;strætið
stríprenda;stríprenda
stríðr;stríður
ströndinni;ströndinni
strýhærðr;strýhærður
stucku;stukku
studdi;studdi
studdr;studdur
studdu;studdu
stufenom;stúfinum
stukku;stukku
stuldr;stuldur
stund;stund
stundanna;stundanna
stundir;stundir
stundirnar;stundirnar
stundu;stundiu
stundu;stundu
stundum;stundum
stungu;stungu
stunnd;stund
stutt;stutt
stuttar;stuttar
stuttr;stuttur
stuðill;stuðull
stuðill;stuðill
stuðla;stuðla
stuðlar;stuðlar
stuðning;stuðning
styggliga;stygglega
styggliga;styggliga
styra;stýra
styrde;stýrði
styrdu;stýrðu
styrir;stýrir
styrk;styrk
styrkia;styrkja
styrkja;styrkja
styrktar;styrktar
styrkti;styrkti
styrma;styrma
styrt;stýrt
styrði;stýrði
styrðu;stýrðu
styttast;styttast
stytti;stytti
styðia;styðja
styðja;styðja
styðr;styður
stál;stál
stála;stála
stálhúfa;stálhúfa
stálhúfan;stálhúfan
stálhúfu;stálhúfu
stálhúfuna;stálhúfuna
stálhúfur;stálhúfur
stæfnd;stefnd
stæfnt;stefnt
stæfnur;stefnur
stæik;steik
stæinn;steinn
stæinum;steinum
stælt;stælt
stæmdi;stefndi
stæmndi;stefndi
stæmndist;staðnæmdist
stæmnu;stefnu
stændr;stendur
stænndr;stendur
stærcastr;sterkastur
stærk;sterk
stærkastr;sterkastur
stærki;sterki
stærklæik;sterkleik
stærkr;sterkur
stærkri;sterkari
stærra;stærri
stærri;stærri
stærstu;stærstu
stæði;stæði
stæðia;steðja
stæðiann;steðjann
stè;sté
sté;steig
sté;sté
stíga;stíga
stígr;stígur
stígu;stígu
stólinn;stólinn
stólinum;stólinum
stóll;stóll
stóllinn;stóllinn
stólpar;stólpar
stór;stór
stóra;stóra
stórar;stórar
stórbokkum;stórbokkum
stórfengr;stórfengur
stórfetaðra;stórfetaðra
stórflokka;stórflokka
stórfé;stórfé
stórhöggr;stórhöggr
stórilla;stórilla
stórir;stórir
stórliga;stórliga
stórmenni;stórmenni
stórmennsku;stórmennsku
stórmerkja;stórmerkja
stórmerkjum;stórmerkjum
stórmæli;stórmæli
stórmælum;stórmælum
stórrar;stórrar
stórræði;stórræði
stórsakir;stórsakir
stórskip;stúrskip
stórsmíði;stórsmíði
stórt;stórt
stórtíðenda;stórtíðinda
stórtíðendum;stórtíðindum
stórum;stórum
stórvirki;stórvirki
stórættaðir;stórættaðir
stótt;stótt
stóð;stóð
stóðhross;stóðhross
stóðu;sóðu
stóðu;stóðu
stöfum;stöfum
stökkr;stökkur
stökkva;stökkva
stöng;stöng
stöngin;stöngin
stöpulinn;stöpulinn
stöpulsdyrr;stöpulsdyr
stöð;stöð
stöðli;stöðli
stöðugt;stöðugt
stöðum;stöðum
stöðva;stöðva
stöðvat;stöðvað
stúf;stúf
stúfar;stúfar
stúfhent;stúfhent
stúfr;stúfur
stúpsonr;stúpsonur
stýft;stýft
stýfð;stýfð
stýfðr;stýfður
stýra;stýra
stýranda;stýranda
stýrandi;stýrandi
stýrimaðr;stýrimaður
stýrimönnum;stýrimönnum
stýrir;stýrir
stýrit;stýrið
stýrði;stýrði
stýrðu;stýrðu
stýðr;stýfður
stýðr;stýður
stꝍpa;steypa
stꝍrre;stærri
stꝍrri;stærri
stꝍrsto;stærstu
stꝍyfti;steypti
stꝍypti;steypti
stꝍyptist;steyptist
stꝍyptiz;steyptist
stꝍyptuz;steyptust
stꝍði;stæði
su;sú
sua;svo
suara;svara
suarar;svarar
suarre;svarri
suarta;svarta
suarti;svarti
suartr;svartur
sucku;sukku
sudr;suður
sudreyskr;suðureyskur
sudrmadr;suðurmaður
sueinbarnn;sveinbarn
sueinn;svein
suipta;svipta
sum;sum
suma;suma
suman;suman
sumar;sumar
sumaret;sumarið
sumarit;sumarið
sumarlangt;sumarlangt
sumars;sumars
sumarsdag;sumarsdag
sumarsins;sumarsins
sumer;sumir
sumir;ssumir
sumir;sumir
sumor;sumur
sumr;sumur
sumre;sumri
sumri;sumri
sumrum;sumrum
sumt;sumt
sumu;sumu
sumum;sumum
sumur;sumur
sun;sonur
sun;son
suna;sona
sunar;sonar
sunarlaus;sonarlaus
sund;sund
sunde;sundi
sundet;sundið
sundi;sundi
sundinu;sundinu
sundr;sundur
sundr;sundr
sundrgreinilig;sextán
sundrlaust;sundrlaust
sundrþykke;sundurþykki
sundrþykki;sundurþykki
sunds;sunds
sunginn;sunginn
sungu;sungu
sunna;sunna
sunnan;sunnan
sunnanverðum;sunnanverðum
sunnar;sunnar
sunnarla;sunnarlega
sunnd;sund
sunndet;sundið
sunndi;sundi
sunndinu;sundinu
sunnudaghinn;sunnudaginn
sunr;sounr
sunr;sonur
sunu;syni
sunum;sonum
sunur;sonur
sunzens;sundsins
suo;svo
suobuit;svobúið
suofu;sváfu
suor;svör
suortum;svörtum
surha;surha
surtaloga;surtaloga
sutt;sótt
suðr;suður
suðrhálfu;suðurálfu
suðri;suðri
suðrs;suðurs
suður;suður
suỏrum;svörum
sv;svo
sva;svo
svaf;svaf
svalbrjóstaðir;svalbrjóstaðir
svall;svall
svalr;svo
svanir;svanir
svanni;svanni
svara;svara
svarar;svarar
svarat;svarað
svaraðe;svaraði
svaraði;svaraði
svaraðo;svöruðu
svaraðu;svöruðu
svardaga;svardaga
svardaghe;svardagi
svardögum;svardögum
svaret;svarið
svareðe;svaraði
svarinn;svarinn
svarit;svarið
svarkr;svarkur
svarri;svarri
svarta;svarta
svartan;svartan
svartari;svartari
svarte;svarti
svarti;svarti
svartr;svartur
svarðar;svarðar
svarðe;sór
svarði;svarði
svarði;sór
svefn;svefn
svefni;svefni
svefns;svefns
sveimr;sveimur
sveims;sveims
svein;svein
sveina;sveina
sveinana;sveinana
sveinanna;sveinanna
sveinar;sveinar
sveinarnir;sveinarnir
sveininn;sveininn
sveininum;sveininum
sveinn;sveinn
sveinninn;sveinninn
sveinsins;sveinsins
sveinstaula;sveinstaula
sveinstauli;sveinstauli
sveinum;sveinum
sveipði;sveipaði
sveit;sveið
sveit;sveit
sveita;svita
sveita;sveita
sveitarmönnum;sveitarmönnum
sveitinni;sveitinni
sveitir;sveitir
sveitir;sveiðir
sveitugr;sveitugur
sveitum;sveitum
sveitungar;sveitungar
sveitunum;sveitunum
sveiðum;sveiðum
svelgr;svelgur
svelti;svelti
sver;sver
sverja;sverja
sverð;sverð
sverði;sverði
sverðin;sverðin
sverðinu;sverðinu
sverðit;sverðið
sverðs;sverðs
sverðsegginni;sverðsegginni
sverðsheiti;sverðsheiti
sverðshöggum;sverðshöggum
sverðsins;sverðsins
sverðum;sverðum
sverðunum;sverðunum
sveð;sverð
svic;svik
svicarann;svikarann
svig;svig
svik;svik
svikia;svíkja
svikinn;svikinn
svikit;svikið
sviknir;sviknir
svikræða;svikræða
svikræðom;svikræðum
svikum;svikum
svima;svima
svimraði;svimraði
svinabol;svínaból
svip;svip
svipan;svipan
svipr;svipur
svipti;svipti
sviptikistu;sviptikistu
sviptingar;sviptingar
svipun;svipun
svivirðing;svívirðingu
svivirðingar;svívirðingar
svivirðinginn;svívirðing
svivirðr;svívirtur
sviða;sviða
svo;svo
svor;svör
svoro;svóru
svortum;svörtum
svá;svo
svá;svá
svá;standast
svá;svö
svá;skal
sváfu;sváfu
svásligt;sváslegt
svæfi;svæfi
svæin;sveinn
svæinn;svein
svæinn;sveinn
svæinnen;sveinninn
svæit;sveit
svæið;sveið
svæla;svæla
svænsce;sænski
svænska;sænska
svænske;sænski
svænski;sænski
sværa;sværa
sværia;sverja
sværið;sverjið
sværu;sværu
sværz;sverðs
sværð;sverð
sværðet;sverðið
sværði;sverði
sværðinu;sverðinu
sværðit;sverðið
sværðs;sverðs
sværðsens;sverðsins
sværðtakare;sverðtakari
sværðum;sverðum
sværðz;sverðs
svíkja;svíkja
svína;svína
svínsbógr;svínsbógur
svínskinn;svínskinn
svívirðing;svívirðing
svívirðing;svívirðingu
svívirðinga;svívirðinga
svívirðingar;svívirðingar
svívirðr;svívirtur
svör;svör
svört;svört
svörum;svörum
svöruðu;svöruðu
svöðusár;svöðusár
syfja;syfja
sygldu;sigldu
syll;syll
syn;syn
syna;sýna
syndgazt;syndgast
syndi;sýndi
syndist;sýndist
syndiz;sýndist
syndizst;sýndist
syne;syni
syne;sýni
syngja;syngja
syni;syni
synia;synja
synir;sýnir
synir;synir
synist;sýnist
syniz;sýnist
synið;sýnið
synja;synja
synjar;synjar
synjaði;synjaði
synnd;sýndi
synnzta;syðsta
synt;sýnt
syr;sýr
syrar;sýrar
syslur;sýslur
systir;systir
systkin;systkin
systkina;systkina
systkinum;systkinum
systr;systur
systr;systir
systr;syrtu
systrungr;systrungur
systur;systur
systursonr;systursonr
systursyni;systursyni
syðra;syðra
syðri;syðri
sá;sáu
sá;sá
sá;sjá
sá;svo
sál;sál
sálaðan;sálaðan
sálma;sálma
sálmana;sálmana
sálminn;sálminn
sár;sár
